City,Client ID,Client Name,Number of Records,Order ID,Zip Code,Goods Category,Goods Sub-Category,Profit,Region,Row ID,Office City Sales,State
Miami,1959,Bonnie Matthews Rowland,1,10470,33916,Office Furniture,Office Furnishings,-126,South,1455,325,Florida
Kissimmee,3284,Michael Shaffer,1,90751,34741,Office Furniture,Office Furnishings,-2133,South,26141,120,Florida
Miami,1959,Bonnie Matthews Rowland,1,56740,33916,Office Furniture,Office Furnishings,172,South,7943,1385,Florida
Royal Palm Beach,3347,Carrie McIntosh,1,89355,33411,Office Furniture,Office Furnishings,-93,South,18948,34,Florida
North Miami,2840,Bob Berg,1,87885,33161,Office Furniture,Office Furnishings,-41,South,18420,274,Florida
Miami,349,Kim Weiss,1,11527,33132,Office Furniture,Office Furnishings,1917,South,1595,5556,Florida
Melbourne,2441,Kenneth Capps,1,89300,32935,Office Furniture,Office Furnishings,-100,South,20107,710,Florida
Palm Beach Gardens,1663,Ruby Tate,1,89275,33403,Office Furniture,Office Furnishings,-14,South,22426,929,Florida
Palm Coast,1531,Jon Ayers,1,88855,32137,Office Furniture,Office Furnishings,866,South,18732,2330,Florida
Oakland Park,3087,Kevin Randall Briggs,1,88384,33334,Office Furniture,Office Furnishings,55,South,22716,7,Florida
Kendall,3283,William Woodard,1,90759,33156,Office Furniture,Office Furnishings,-5,South,23023,37,Florida
Coconut Creek,1348,Calvin J Marcus,1,89690,33063,Office Furniture,Office Furnishings,-7,South,23006,530,Florida
Dunedin,1764,Michele Bradshaw,1,89776,34698,Office Furniture,Office Furnishings,236,South,25609,40,Florida
Miami,1959,Bonnie Matthews Rowland,1,44451,33916,Office Furniture,Office Furnishings,-26,South,6282,208,Florida
Hialeah,2918,Larry Brock,1,90055,33012,Office Furniture,Office Furnishings,564,South,19391,475,Florida
Miami,1959,Bonnie Matthews Rowland,1,29985,33916,Office Furniture,Office Furnishings,0,South,4219,277,Florida
Homestead,2969,Cameron Clapp,1,86090,33030,Office Furniture,Office Furnishings,-1125,South,23127,24,Florida
Miami,1959,Bonnie Matthews Rowland,1,13984,33916,Office Furniture,Office Furnishings,-1158,South,1952,4311,Florida
North Miami Beach,2880,Grace Black,1,88628,33160,Office Furniture,Office Furnishings,-126,South,22753,26,Florida
Oakland Park,3087,Kevin Randall Briggs,1,88383,33334,Office Furniture,Office Furnishings,33,South,21358,344,Florida
Poinciana,2876,Lisa Roberson,1,89646,34759,Office Furniture,Office Furnishings,-116,South,26072,163,Florida
Spring Hill,3194,Angela Rose,1,89807,34609,Office Furniture,Office Furnishings,138,South,23459,94,Florida
Dalton,2720,Donna Block,1,88768,30721,Office Furniture,Office Furnishings,806,South,21266,379,Georgia
Tucker,2487,Michelle Bryant Phillip,1,91417,30084,Office Furniture,Office Furnishings,89,South,24476,1141,Georgia
Rome,2260,Geoffrey H Wong,1,89607,30161,Office Furniture,Office Furnishings,-105,South,21832,119,Georgia
East Point,2771,Kevin Wolfe,1,88978,30344,Office Furniture,Office Furnishings,-570,South,24917,35,Georgia
Marietta,3382,Jon Beasley,1,88842,30062,Office Furniture,Office Furnishings,-5257,South,26154,20,Georgia
Roswell,2393,Debbie Dillon,1,86951,30076,Office Furniture,Office Furnishings,-45,South,18197,1203,Georgia
Athens,2593,Anne Schultz,1,87775,30605,Office Furniture,Office Furnishings,-1085,South,21812,119,Georgia
Atlanta,1745,Herbert Holden,1,54145,30305,Office Furniture,Office Furnishings,-177,South,7567,70,Georgia
Woodstock,1788,Valerie Siegel,1,88258,30188,Office Furniture,Office Furnishings,10,South,24099,834,Georgia
College Park,2209,Sharon Thomas,1,88036,30337,Office Furniture,Office Furnishings,-27,South,24757,188,Georgia
Columbus,2657,Anthony Greer,1,86069,31907,Office Furniture,Office Furnishings,642,South,24508,327,Georgia
Augusta,2656,Dennis Thornton,1,86074,30904,Office Furniture,Office Furnishings,-11,South,24253,125,Georgia
Atlanta,1745,Herbert Holden,1,21670,30305,Office Furniture,Office Furnishings,557,South,3013,2211,Georgia
La Grange,3380,Eva Decker,1,88838,30240,Office Furniture,Office Furnishings,44,South,23183,522,Georgia
Savannah,2395,Beverly Roberts,1,86955,31401,Office Furniture,Office Furnishings,192,South,25475,422,Georgia
Martinez,1712,Regina Langley,1,87750,30907,Office Furniture,Office Furnishings,-1,South,21534,260,Georgia
Gainesville,3217,Victor McAllister,1,89137,30501,Office Furniture,Office Furnishings,8,South,18840,106,Georgia
Marietta,1711,Sharon Long,1,87747,30062,Office Furniture,Office Furnishings,-167,South,19287,22,Georgia
Newnan,1713,Rosemary Stark,1,87751,30265,Office Furniture,Office Furnishings,-31,South,24686,93,Georgia
Atlanta,1060,Gene Gilliam,1,57061,30318,Office Furniture,Office Furnishings,31,South,7981,202,Georgia
Evans,2900,Francis Edwards,1,86291,30809,Office Furniture,Office Furnishings,1,South,23543,116,Georgia
Atlanta,1745,Herbert Holden,1,11876,30305,Office Furniture,Office Furnishings,1145,South,1645,6772,Georgia
Atlanta,1745,Herbert Holden,1,13408,30305,Office Furniture,Office Furnishings,117,South,1863,257,Georgia
Owensboro,2183,Sheryl Reese,1,91572,42301,Office Furniture,Office Furnishings,-46,South,23426,80,Kentucky
Pleasure Ridge Park,2346,Sylvia Kumar,1,89511,40258,Office Furniture,Office Furnishings,203,South,20775,288,Kentucky
Louisville,2148,Jesse Farrell,1,91103,40214,Office Furniture,Office Furnishings,1,South,20725,95,Kentucky
Marrero,2752,Marc S Liu,1,88071,70072,Office Furniture,Office Furnishings,77,South,19762,63,Louisiana
Monroe,3112,Jill Young,1,86861,71203,Office Furniture,Office Furnishings,-575,South,19007,730,Louisiana
Bossier City,2464,Joe George,1,88713,71111,Office Furniture,Office Furnishings,608,South,25859,10,Louisiana
Metairie,2787,Rodney Kearney,1,91319,70003,Office Furniture,Office Furnishings,638,South,22417,121,Louisiana
Houma,2479,Julie Lang,1,91003,70364,Office Furniture,Office Furnishings,-684,South,22365,54,Louisiana
Columbus,568,Peter McConnell,1,88887,39701,Office Furniture,Office Furnishings,719,South,22668,184,Mississippi
Hattiesburg,1632,Lori Wolfe,1,90530,39401,Office Furniture,Office Furnishings,16,South,19769,48,Mississippi
Garner,1737,Danielle Myers,1,85866,27529,Office Furniture,Office Furnishings,-130,South,18012,452,North Caroli
Cornelius,1421,Alison Starr,1,91461,28031,Office Furniture,Office Furnishings,-167,South,26324,147,North Caroli
Thomasville,2469,Herbert Reddy,1,88140,27360,Office Furniture,Office Furnishings,264,South,26192,357,North Caroli
Burlington,1017,Wallace Bridges,1,88397,27217,Office Furniture,Office Furnishings,18,South,24955,15,North Caroli
Durham,1033,Sean Sparks,1,89630,27707,Office Furniture,Office Furnishings,-14,South,24313,608,North Caroli
Salisbury,2468,Rhonda Stein,1,88150,28144,Office Furniture,Office Furnishings,-24,South,19516,629,North Caroli
Charlotte,2882,Andrew Gonzalez,1,55300,28206,Office Furniture,Office Furnishings,-307,South,7720,350,North Caroli
Hickory,1931,Elisabeth Rao,1,89342,28601,Office Furniture,Office Furnishings,-62,South,22428,92,North Caroli
Thomasville,2469,Herbert Reddy,1,88148,27360,Office Furniture,Office Furnishings,-36,South,24077,2030,North Caroli
Charlotte,272,Eleanor Swain,1,5509,28204,Office Furniture,Office Furnishings,53,South,771,885,North Caroli
Monroe,2112,Margaret Olsen,1,87867,28110,Office Furniture,Office Furnishings,675,South,23904,184,North Caroli
Monroe,2191,Lori Crowell,1,90690,28110,Office Furniture,Office Furnishings,29,South,19954,90,North Caroli
Mooresville,2192,Julia Haynes,1,90688,28115,Office Furniture,Office Furnishings,91,South,21224,476,North Caroli
Charlotte,2882,Andrew Gonzalez,1,40224,28206,Office Furniture,Office Furnishings,271,South,5689,1336,North Caroli
Wilmington,2778,Alison Jones,1,87164,28403,Office Furniture,Office Furnishings,1717,South,18239,186,North Caroli
Charlotte,272,Eleanor Swain,1,33826,28204,Office Furniture,Office Furnishings,39,South,4760,343,North Caroli
Fort Bragg,1575,Kyle Bloom,1,86967,28307,Office Furniture,Office Furnishings,7191,South,22635,122,North Caroli
Charlotte,272,Eleanor Swain,1,36069,28204,Office Furniture,Office Furnishings,648,South,5060,5516,North Caroli
Mooresville,2192,Julia Haynes,1,90691,28115,Office Furniture,Office Furnishings,5,South,23869,2704,North Caroli
Columbia,3279,Ricky Allred,1,90770,29203,Office Furniture,Office Furnishings,-79,South,21481,32,South Caroli
Taylors,3341,Harold Shapiro,1,85989,29687,Office Furniture,Office Furnishings,5,South,20675,281,South Caroli
Summerville,2287,Samuel Newman,1,90149,29483,Office Furniture,Office Furnishings,-100,South,25024,90,South Caroli
Mauldin,2270,Kristine Holden,1,89578,29662,Office Furniture,Office Furnishings,-349,South,25782,417,South Caroli
Summerville,2287,Samuel Newman,1,90149,29483,Office Furniture,Office Furnishings,-346,South,25025,153,South Caroli
Rock Hill,2285,Arnold Floyd Blair,1,90150,29730,Office Furniture,Office Furnishings,150,South,20231,1162,South Caroli
Greer,1983,Gene Wu Vaughan,1,91259,29651,Office Furniture,Office Furnishings,-329,South,21045,16,South Caroli
Florence,3280,Sandra ONeill Briggs,1,90769,29501,Office Furniture,Office Furnishings,-79,South,22870,1916,South Caroli
Mount Pleasant,2098,Tracy Dyer,1,87889,29464,Office Furniture,Office Furnishings,39,South,18418,390,South Caroli
Kingsport,151,Geoffrey Zhu,1,89530,37664,Office Furniture,Office Furnishings,-50,South,19518,227,Tennessee
Clarksville,2725,Katharine Hudson,1,88961,37042,Office Furniture,Office Furnishings,-166,South,23947,223,Tennessee
Gallatin,3224,Claudia White,1,86510,37066,Office Furniture,Office Furnishings,50,South,19671,20,Tennessee
Collierville,2847,Vanessa Day,1,85928,38017,Office Furniture,Office Furnishings,-535,South,21856,88,Tennessee
Hendersonville,3226,Arthur Gold,1,86507,37075,Office Furniture,Office Furnishings,239,South,22293,13,Tennessee
Gallatin,3224,Claudia White,1,86512,37066,Office Furniture,Office Furnishings,-322,South,18126,66,Tennessee
Nashville,666,Emily Sims,1,88681,37211,Office Furniture,Office Furnishings,-1668,South,21824,131,Tennessee
Knoxville,152,Kent Kerr,1,89522,37918,Office Furniture,Office Furnishings,-41,South,22243,668,Tennessee
Smyrna,823,Christian Albright,1,89257,37167,Office Furniture,Office Furnishings,4,South,20661,80,Tennessee
Columbia,2948,Jeanne Chandler,1,87517,38401,Office Furniture,Office Furnishings,-74,South,18324,44,Tennessee
Murfreesboro,497,Steve McKee,1,90709,37130,Office Furniture,Office Furnishings,4,South,20996,124,Tennessee
Spring Hill,824,Joann Moser,1,89272,37174,Office Furniture,Office Furnishings,332,South,21094,1183,Tennessee
Memphis,248,Anthony Han,1,89143,38109,Office Furniture,Office Furnishings,65,South,25944,205,Tennessee
Chattanooga,2724,Erika Clapp,1,88966,37421,Office Furniture,Office Furnishings,-1647,South,21568,172,Tennessee
Murfreesboro,665,Miriam Mueller,1,88677,37130,Office Furniture,Office Furnishings,-678,South,21086,202,Tennessee
Franklin,3214,James Fox,1,91565,37064,Office Furniture,Office Furnishings,54,South,25779,9,Tennessee
Jackson,3320,Alicia Maynard,1,90107,38301,Office Furniture,Office Furnishings,2,South,21218,10,Tennessee
Bristol,2723,Nicholas Pritchard,1,88960,37620,Office Furniture,Office Furnishings,-149,South,18871,121,Tennessee
Gallatin,3224,Claudia White,1,86510,37066,Office Furniture,Office Furnishings,103,South,19672,303,Tennessee
Morristown,375,Sandra Sharma,1,90920,37814,Office Furniture,Office Furnishings,100,South,21661,1623,Tennessee
Bristol,2723,Nicholas Pritchard,1,88962,37620,Office Furniture,Office Furnishings,-13,South,18781,45,Tennessee
Chattanooga,2724,Erika Clapp,1,88960,37421,Office Furniture,Office Furnishings,-156,South,18874,834,Tennessee
Richmond,2543,Josephine Dalton,1,87917,23223,Office Furniture,Office Furnishings,4,South,19031,257,Virginia
Montclair,535,Jill Clements,1,88513,22025,Office Furniture,Office Furnishings,-117,South,23115,432,Virginia
Newport News,2063,Todd D Norris,1,87159,23602,Office Furniture,Office Furnishings,1611,South,23739,255,Virginia
Charlottesville,1672,Sidney Scarborough,1,86733,22901,Office Furniture,Office Furnishings,-233,South,24712,297,Virginia
Rose Hill,492,Courtney Weber,1,88910,24281,Office Furniture,Office Furnishings,-2549,South,24068,439,Virginia
Winchester,2677,Geoffrey Rivera,1,86633,22601,Office Furniture,Office Furnishings,-33,South,18147,419,Virginia
Salem,64,Lynn Morrow,1,87414,24153,Office Furniture,Office Furnishings,-11,South,21018,462,Virginia
Winchester,2635,Lester Erickson Frederi,1,90176,22601,Office Furniture,Office Furnishings,-1603,South,22301,607,Virginia
Rose Hill,678,Edward McKenzie,1,88898,24281,Office Furniture,Office Furnishings,24,South,18749,27,Virginia
Colonial Heights,178,Sheryl Alexander,1,90826,23834,Office Furniture,Office Furnishings,2,South,21912,80,Virginia
Colonial Heights,46,Anne Nguyen,1,91579,23834,Office Furniture,Office Furnishings,-78,South,25398,368,Virginia
Hampton,2001,Herman Leach,1,90572,23666,Office Furniture,Office Furnishings,-229,South,24549,338,Virginia
Virginia Beach,2547,Edna Freeman,1,87921,23464,Office Furniture,Office Furnishings,297,South,24594,1054,Virginia
Danville,2000,Dale Yu,1,90569,24541,Office Furniture,Office Furnishings,185,South,19801,226,Virginia
Chesapeake,1875,Martin Kirk,1,90901,23320,Office Furniture,Office Furnishings,2497,South,24349,42,Virginia
Reston,1904,Dan McGee,1,87450,20190,Office Furniture,Office Furnishings,231,South,18300,316,Virginia
Harrisonburg,2049,Kenneth Pollock,1,88227,22801,Office Furniture,Office Furnishings,2,South,19174,183,Virginia
Mechanicsville,2062,Alfred Singh,1,87158,23111,Office Furniture,Office Furnishings,131,South,23242,1126,Virginia
Lynchburg,2050,Barbara Whitfield,1,88231,24501,Office Furniture,Office Furnishings,1122,South,25646,564,Virginia
Opelika,2578,Kent Gill,1,88298,36801,Office Furniture,Tables,-37,South,20940,2694,Alabama
Bessemer,1242,Dan Hoover,1,90885,35020,Office Furniture,Tables,27,South,21595,602,Alabama
Oxford,2525,Grace Everett,1,87209,36203,Office Furniture,Tables,-108,South,19927,854,Alabama
Phenix City,2579,Marshall Sutherland,1,88296,36869,Office Furniture,Tables,-274,South,23705,175,Alabama
Birmingham,1526,Larry Hall,1,86817,35211,Office Furniture,Tables,-98,South,19536,4803,Alabama
Hot Springs,1720,William Pace,1,90788,71901,Office Furniture,Tables,-100,South,20081,673,Arkansas
West Memphis,2124,Paige Powers,1,89666,72301,Office Furniture,Tables,18,South,23852,2762,Arkansas
Benton,3060,Craig Wong,1,87028,72015,Office Furniture,Tables,203,South,25824,2139,Arkansas
Pine Bluff,1919,Nathan Jenkins,1,85906,71603,Office Furniture,Tables,654,South,24970,807,Arkansas
Bella Vista,1119,Cecil Berger,1,86778,72714,Office Furniture,Tables,-61,South,24618,535,Arkansas
Little Rock,1722,Ashley C Bridges,1,90792,72209,Office Furniture,Tables,75,South,24131,480,Arkansas
Miami,342,Jacqueline Noble,1,33959,33181,Office Furniture,Tables,8,South,4784,511,Florida
Dunedin,1802,Jack Morse,1,91544,34698,Office Furniture,Tables,-3943,South,23016,614,Florida
Delray Beach,1668,Marian Anthony,1,89478,33445,Office Furniture,Tables,-633,South,23636,1220,Florida
Riviera Beach,3299,Stuart McLean,1,87975,33404,Office Furniture,Tables,22,South,21211,793,Florida
Kissimmee,3284,Michael Shaffer,1,90761,34741,Office Furniture,Tables,177,South,24053,166,Florida
Pembroke Pines,2369,Mike G Hartman,1,90412,33024,Office Furniture,Tables,-318,South,20917,1988,Florida
Land O Lakes,2268,Carlos Adkins,1,89571,34639,Office Furniture,Tables,138,South,19072,4087,Florida
Panama City,2302,Beth Dolan,1,87696,32404,Office Furniture,Tables,-474,South,23345,284,Florida
Miami,1959,Bonnie Matthews Rowland,1,5346,33916,Office Furniture,Tables,-2342,South,742,16959,Florida
Coral Gables,1499,Charlotte L Doyle,1,90731,33134,Office Furniture,Tables,-28,South,20018,1558,Florida
Plant City,2753,Jane Freeman,1,91510,33566,Office Furniture,Tables,-14,South,22592,8128,Florida
Fort Pierce,2360,Troy Hendrix,1,88272,34982,Office Furniture,Tables,23,South,24485,1626,Florida
Miami,349,Kim Weiss,1,37414,33132,Office Furniture,Tables,-1771,South,5257,40137,Florida
Hialeah,2873,Benjamin Gunter,1,89872,33012,Office Furniture,Tables,394,South,25725,2273,Florida
Gainesville,2859,Brad H Blake,1,88289,32601,Office Furniture,Tables,-46,South,21424,2879,Florida
Miramar,2641,Juanita Bennett,1,86039,33023,Office Furniture,Tables,4,South,22099,2770,Florida
Daytona Beach,1541,Glenda Taylor Strauss,1,87789,32114,Office Furniture,Tables,-19,South,25772,5505,Florida
Hollywood,2968,Miriam Bowman,1,86085,33021,Office Furniture,Tables,-126,South,21391,731,Florida
Altamonte Springs,1178,Sandy Hunt,1,89787,32701,Office Furniture,Tables,-369,South,19185,2307,Florida
Orlando,3119,Jay Hubbard,1,86432,32839,Office Furniture,Tables,513,South,20795,3772,Florida
Atlanta,1060,Gene Gilliam,1,58628,30318,Office Furniture,Tables,-446,South,8200,2528,Georgia
Atlanta,1745,Herbert Holden,1,12224,30305,Office Furniture,Tables,-248,South,1692,606,Georgia
Columbus,2657,Anthony Greer,1,86068,31907,Office Furniture,Tables,-232,South,24660,436,Georgia
Atlanta,471,Ross Simpson,1,13730,30318,Office Furniture,Tables,-471,South,1915,5705,Georgia
Peachtree City,1910,Sean Stephenson,1,91373,30269,Office Furniture,Tables,-2210,South,23813,2441,Georgia
Tucker,2487,Michelle Bryant Phillip,1,91420,30084,Office Furniture,Tables,-1962,South,25794,2811,Georgia
Atlanta,2655,Benjamin Lam,1,86071,30318,Office Furniture,Tables,-164,South,21100,7093,Georgia
Dunwoody,2770,Joel Burnette,1,88982,30338,Office Furniture,Tables,53,South,22026,620,Georgia
Statesboro,2486,Jack Horn,1,91414,30458,Office Furniture,Tables,-440,South,22028,238,Georgia
Louisville,2148,Jesse Farrell,1,91106,40214,Office Furniture,Tables,-258,South,22550,2786,Kentucky
Paducah,2345,Colleen Marsh,1,89504,42003,Office Furniture,Tables,-411,South,19053,311,Kentucky
Pleasure Ridge Park,2346,Sylvia Kumar,1,89505,40258,Office Furniture,Tables,62,South,21627,2805,Kentucky
Paducah,2254,Jeff Meadows,1,89281,42003,Office Furniture,Tables,3542,South,18913,2230,Kentucky
New Orleans,3120,Daniel Christian,1,90163,70117,Office Furniture,Tables,327,South,19467,333,Louisiana
Slidell,3129,Ralph Fowler,1,89817,70458,Office Furniture,Tables,25,South,25905,765,Louisiana
Slidell,3129,Ralph Fowler,1,89814,70458,Office Furniture,Tables,1,South,26399,4319,Louisiana
Bossier City,2464,Joe George,1,88713,71111,Office Furniture,Tables,-570,South,25860,2850,Louisiana
Gulfport,1554,Joan Floyd,1,87487,39503,Office Furniture,Tables,-4,South,25409,895,Mississippi
Horn Lake,1633,Gerald Raynor,1,90537,38637,Office Furniture,Tables,-41,South,22101,1965,Mississippi
Clinton,1552,Gary Koch,1,87486,39056,Office Furniture,Tables,-337,South,20993,724,Mississippi
Pearl,1815,Marvin Yang,1,90529,39208,Office Furniture,Tables,8,South,22274,797,Mississippi
Long Beach,2313,Hazel Lindsay,1,90559,39560,Office Furniture,Tables,-133,South,21617,7583,Mississippi
Greenville,1741,Carl Hobbs,1,85873,27834,Office Furniture,Tables,377,South,25045,24,North Caroli
Greensboro,1740,Edna Goodwin,1,85870,27405,Office Furniture,Tables,-17,South,23446,1006,North Caroli
Charlotte,2882,Andrew Gonzalez,1,29507,28206,Office Furniture,Tables,-903,South,4162,3050,North Caroli
Chapel Hill,1030,Christine Wilkerson,1,89626,27514,Office Furniture,Tables,171,South,19095,446,North Caroli
Fayetteville,1574,Sherry Hurley,1,86968,28314,Office Furniture,Tables,-12,South,20721,426,North Caroli
Thomasville,2469,Herbert Reddy,1,88148,27360,Office Furniture,Tables,13,South,24078,174,North Caroli
Charlotte,272,Eleanor Swain,1,39490,28204,Office Furniture,Tables,11,South,5574,5689,North Caroli
Charlotte,2882,Andrew Gonzalez,1,29572,28206,Office Furniture,Tables,85,South,4172,3986,North Caroli
Albemarle,395,Monica McCormick,1,86396,28001,Office Furniture,Tables,-32,South,23970,5082,North Caroli
Asheboro,1650,Dan Lamm,1,91046,27203,Office Furniture,Tables,335,South,24610,1432,North Caroli
Goldsboro,1739,Edna Pierce,1,85867,27534,Office Furniture,Tables,-91,South,22593,5835,North Caroli
Greenville,1927,Earl Alston,1,88579,29611,Office Furniture,Tables,-14,South,21563,1757,South Caroli
Myrtle Beach,2099,Nathan Fox,1,87892,29577,Office Furniture,Tables,-572,South,23356,571,South Caroli
Taylors,1459,Steve Raynor,1,86744,29687,Office Furniture,Tables,64,South,25839,2040,South Caroli
Bristol,2723,Nicholas Pritchard,1,88960,37620,Office Furniture,Tables,1620,South,18872,1241,Tennessee
Maryville,247,Marshall Brandt Briggs,1,89139,37804,Office Furniture,Tables,-101,South,18849,799,Tennessee
Chattanooga,2724,Erika Clapp,1,88966,37421,Office Furniture,Tables,-32,South,21569,1476,Tennessee
Nashville,804,Kim Ellington,1,90053,37211,Office Furniture,Tables,-3,South,19387,1859,Tennessee
Colonial Heights,178,Sheryl Alexander,1,90831,23834,Office Furniture,Tables,-446,South,20175,748,Virginia
Annandale,1557,James Nicholson,1,87429,22003,Office Furniture,Tables,1430,South,19476,924,Virginia
Richmond,2420,Wesley Cho,1,86763,23223,Office Furniture,Tables,-24,South,25723,4632,Virginia
Montclair,670,Lewis Baldwin,1,88474,22025,Office Furniture,Tables,-187,South,18808,1430,Virginia
Tysons Corner,93,Vicki Shannon,1,87183,22102,Office Furniture,Tables,-476,South,25101,3782,Virginia
Chandler,2745,Arnold Gay,1,86184,85224,Office Furniture,Bookcases,1049,West,21323,2591,Arizona
Bullhead City,2699,Marcia Greenberg,1,87679,86442,Office Furniture,Bookcases,-85,West,20983,1345,Arizona
Yuma,1118,Jesse Williams Katz,1,86773,85364,Office Furniture,Bookcases,144,West,23521,2581,Arizona
Tucson,1117,Samantha Koch,1,86784,85705,Office Furniture,Bookcases,-659,West,21920,2113,Arizona
Yucaipa,1112,Luis Kerr,1,90832,92399,Office Furniture,Bookcases,1273,West,20176,3528,California
East Los Angeles,2799,Gilbert Vogel,1,87433,90022,Office Furniture,Bookcases,154,West,20131,4532,California
Laguna Hills,1665,Elsie Pridgen,1,90682,92653,Office Furniture,Bookcases,-567,West,20911,1415,California
Lodi,401,Teresa Brewer,1,87805,95240,Office Furniture,Bookcases,-1062,West,21152,1775,California
San Diego,1723,Constance Flowers,1,20036,92037,Office Furniture,Bookcases,-533,West,2771,8119,California
Rancho Cucamonga,918,Kerry Jernigan,1,90495,91730,Office Furniture,Bookcases,-1341,West,19746,895,California
San Jose,274,Valerie Rice,1,89294,95123,Office Furniture,Bookcases,-1232,West,19410,784,California
Los Angeles,553,Kristine Connolly,1,27138,90008,Office Furniture,Bookcases,-278,West,3810,3840,California
Modesto,787,Kristen Callahan,1,91519,95351,Office Furniture,Bookcases,-336,West,25186,1433,California
San Carlos,1638,Amanda Shore,1,89709,94070,Office Furniture,Bookcases,55,West,26278,1288,California
San Francisco,1796,Carlos Johnson,1,90780,94110,Office Furniture,Bookcases,-84,West,22693,888,California
San Francisco,1796,Carlos Johnson,1,90780,94110,Office Furniture,Bookcases,163,West,22694,1858,California
San Francisco,3196,Rick Foster Hawkins,1,15907,94109,Office Furniture,Bookcases,-1414,West,2206,2042,California
Rancho Cucamonga,918,Kerry Jernigan,1,90493,91730,Office Furniture,Bookcases,187,West,19772,2115,California
Yuba City,1042,Jerome Burch,1,87848,95991,Office Furniture,Bookcases,-113,West,23404,377,California
Los Angeles,3004,Maurice Everett,1,45668,90049,Office Furniture,Bookcases,-299,West,6424,1321,California
Costa Mesa,2490,Pauline Finch,1,86893,92627,Office Furniture,Bookcases,-582,West,24780,1059,California
Los Angeles,2491,Sean N Boyer,1,48288,90045,Office Furniture,Bookcases,-582,West,6780,4499,California
Pico Rivera,223,Joe Nicholson,1,88530,90660,Office Furniture,Bookcases,-1022,West,18607,1734,California
Fresno,485,Edward Leonard,1,91069,93727,Office Furniture,Bookcases,-737,West,21675,3962,California
Los Angeles,3075,Gordon Brandt,1,37252,90061,Office Furniture,Bookcases,7498,West,5235,100119,California
Santa Clara,637,Christopher Bryant,1,87953,95051,Office Furniture,Bookcases,-230,West,19539,1232,California
Oakland,369,Troy Moon,1,90295,94601,Office Furniture,Bookcases,377,West,23972,1706,California
Laguna Hills,1665,Elsie Pridgen,1,90684,92653,Office Furniture,Bookcases,-58,West,24765,1215,California
San Francisco,1796,Carlos Johnson,1,90778,94110,Office Furniture,Bookcases,-428,West,24250,1263,California
Pueblo West,618,Robert Cowan,1,88199,81007,Office Furniture,Bookcases,2167,West,20171,4291,Colorado
Thornton,693,Richard McClure,1,87812,80229,Office Furniture,Bookcases,-264,West,18737,735,Colorado
Durango,2141,Molly Webster,1,87571,81301,Office Furniture,Bookcases,-1957,West,18335,756,Colorado
Thornton,693,Richard McClure,1,87811,80229,Office Furniture,Bookcases,2568,West,19400,3722,Colorado
Lakewood,1978,Jessie McDonald,1,87763,80232,Office Furniture,Bookcases,3484,West,18374,6335,Colorado
Moscow,2376,Debra Batchelor,1,91326,83843,Office Furniture,Bookcases,342,West,22947,1565,Idaho
Lewiston,2746,Laurence Greer,1,86186,83501,Office Furniture,Bookcases,-1348,West,18062,746,Idaho
Lewiston,2701,Kerry OBrien,1,87687,83501,Office Furniture,Bookcases,70,West,25910,955,Idaho
Moscow,1730,Kerry Wilkerson,1,90660,83843,Office Furniture,Bookcases,-212,West,21887,385,Idaho
Idaho Falls,3006,Thomas Spence,1,91396,83402,Office Furniture,Bookcases,-100,West,24424,352,Idaho
Twin Falls,3206,Dana Rankin,1,87939,83301,Office Furniture,Bookcases,-797,West,25189,2049,Idaho
Billings,1790,Norman Benton,1,88264,59102,Office Furniture,Bookcases,-323,West,26204,379,Montana
Reno,871,Sandy Ellington,1,90581,89502,Office Furniture,Bookcases,-827,West,19804,1701,Nevada
Las Vegas,651,Leah Clapp,1,91576,89115,Office Furniture,Bookcases,4233,West,23433,6901,Nevada
Albuquerque,2007,Lauren West,1,88808,87105,Office Furniture,Bookcases,-866,West,25805,1450,New Mexico
Woodburn,2781,Kelly Byers,1,87166,97071,Office Furniture,Bookcases,227,West,23003,1072,Oregon
Coos Bay,1446,Eileen R Braun,1,86715,97420,Office Furniture,Bookcases,-303,West,18163,518,Oregon
Troutdale,3340,Phillip Blum,1,85982,97060,Office Furniture,Bookcases,4749,West,22079,6882,Oregon
Lehi,194,Tammy Goldman,1,90435,84043,Office Furniture,Bookcases,-115,West,23064,297,Utah
Bountiful,1468,Neil Hahn,1,91118,84010,Office Furniture,Bookcases,-518,West,22466,745,Utah
Provo,556,Kristina Sanders,1,86199,84604,Office Furniture,Bookcases,-278,West,21810,960,Utah
Murray,230,Jack Horne,1,91309,84107,Office Furniture,Bookcases,-262,West,21512,95,Utah
Layton,120,Helen H Murphy,1,86523,84041,Office Furniture,Bookcases,-160,West,25553,1579,Utah
Spokane,680,Laurence Poe,1,88894,99207,Office Furniture,Bookcases,1445,West,23673,2640,Washington
Bothell,2730,Valerie Hahn,1,88124,98011,Office Furniture,Bookcases,-163,West,22166,1355,Washington
Richland,164,Robin Kramer Vaughn,1,89966,99352,Office Furniture,Bookcases,-520,West,24945,1259,Washington
Richland,164,Robin Kramer Vaughn,1,89961,99352,Office Furniture,Bookcases,-111,West,26102,716,Washington
Seatac,175,Angela Bernstein,1,90649,98158,Office Furniture,Bookcases,-221,West,26018,487,Washington
Seattle,308,Glen Caldwell,1,40672,98115,Office Furniture,Bookcases,-159,West,5730,3438,Washington
